"","time","COROP_LEV","COROP_AFN","AANTAL"
"1",2019-01-01,"CR01","CR01",9820
"2",2019-01-01,"CR01","CR03",550
"3",2019-01-01,"CR01","CR04",722
"4",2019-01-01,"CR01","CR05",452
"5",2019-01-01,"CR01","CR08",5070
"6",2019-01-01,"CR01","CR09",544
"7",2019-01-01,"CR01","CR10",3048
"8",2019-01-01,"CR01","CR13",859
"9",2019-01-01,"CR01","CR14",5514
"10",2019-01-01,"CR01","CR17",168
"11",2019-01-01,"CR01","CR35",13556
"12",2019-01-01,"CR01","CR36",2574
"13",2019-01-01,"CR02","CR01",1856
"14",2019-01-01,"CR02","CR03",110
"15",2019-01-01,"CR02","CR10",74
"16",2019-01-01,"CR02","CR13",432
"17",2019-01-01,"CR02","CR14",468
"18",2019-01-01,"CR02","CR35",626
"19",2019-01-01,"CR03","CR01",160
"20",2019-01-01,"CR03","CR03",1334
"21",2019-01-01,"CR03","CR04",726
"22",2019-01-01,"CR03","CR05",4
"23",2019-01-01,"CR03","CR06",2638
"24",2019-01-01,"CR03","CR07",4
"25",2019-01-01,"CR03","CR08",880
"26",2019-01-01,"CR03","CR10",1248
"27",2019-01-01,"CR03","CR13",52
"28",2019-01-01,"CR03","CR14",1443
"29",2019-01-01,"CR03","CR17",769
"30",2019-01-01,"CR03","CR35",830
"31",2019-01-01,"CR03","CR36",6230
"32",2019-01-01,"CR04","CR03",572
"33",2019-01-01,"CR04","CR04",754
"34",2019-01-01,"CR04","CR06",52
"35",2019-01-01,"CR04","CR10",4452
"36",2019-01-01,"CR04","CR14",72
"37",2019-01-01,"CR04","CR17",1106
"38",2019-01-01,"CR04","CR35",5170
"39",2019-01-01,"CR04","CR36",612
"40",2019-01-01,"CR05","CR04",926
"41",2019-01-01,"CR05","CR05",216
"42",2019-01-01,"CR05","CR06",6
"43",2019-01-01,"CR05","CR13",3608
"44",2019-01-01,"CR05","CR14",854
"45",2019-01-01,"CR05","CR17",4202
"46",2019-01-01,"CR05","CR36",3542
"47",2019-01-01,"CR05","CR40",1080
"48",2019-01-01,"CR06","CR01",3400
"49",2019-01-01,"CR06","CR03",2618
"50",2019-01-01,"CR06","CR04",4
"51",2019-01-01,"CR06","CR05",960
"52",2019-01-01,"CR06","CR06",536
"53",2019-01-01,"CR06","CR07",2312
