"","time","COROP_LEV","COROP_AFN","AANTAL"
"1",2018-12-30,"CR01","CR01",576
"2",2018-12-30,"CR01","CR03",12
"3",2018-12-30,"CR01","CR08",822
"4",2018-12-30,"CR01","CR10",360
"5",2018-12-30,"CR01","CR13",216
"6",2018-12-30,"CR01","CR14",882
"7",2018-12-30,"CR01","CR35",864
"8",2018-12-30,"CR01","CR36",460
"9",2018-12-30,"CR02","CR14",142
"10",2018-12-30,"CR02","CR35",412
"11",2018-12-30,"CR03","CR03",44
"12",2018-12-30,"CR03","CR04",244
"13",2018-12-30,"CR03","CR06",768
"14",2018-12-30,"CR03","CR10",482
"15",2018-12-30,"CR03","CR35",216
"16",2018-12-30,"CR03","CR36",560
"17",2018-12-30,"CR04","CR03",70
"18",2018-12-30,"CR04","CR17",216
"19",2018-12-30,"CR04","CR35",410
"20",2018-12-30,"CR04","CR36",210
"21",2018-12-30,"CR05","CR05",140
"22",2018-12-30,"CR05","CR13",98
"23",2018-12-30,"CR05","CR17",512
"24",2018-12-30,"CR05","CR36",460
"25",2018-12-30,"CR06","CR01",520
"26",2018-12-30,"CR06","CR03",416
"27",2018-12-30,"CR06","CR06",528
"28",2018-12-30,"CR06","CR13",1000
"29",2018-12-30,"CR06","CR14",198
"30",2018-12-30,"CR06","CR36",1452
"31",2018-12-30,"CR07","CR01",22
"32",2018-12-30,"CR07","CR07",1772
"33",2018-12-30,"CR07","CR10",228
"34",2018-12-30,"CR07","CR11",1
"35",2018-12-30,"CR07","CR14",904
"36",2018-12-30,"CR07","CR33",4
"37",2018-12-30,"CR07","CR35",216
"38",2018-12-30,"CR07","CR40",288
"39",2018-12-30,"CR08","CR01",2160
"40",2018-12-30,"CR08","CR03",44
"41",2018-12-30,"CR08","CR07",576
"42",2018-12-30,"CR08","CR08",1062
"43",2018-12-30,"CR08","CR10",12
"44",2018-12-30,"CR08","CR13",902
"45",2018-12-30,"CR08","CR14",1774
"46",2018-12-30,"CR08","CR17",204
"47",2018-12-30,"CR08","CR35",2580
"48",2018-12-30,"CR09","CR03",12
"49",2018-12-30,"CR09","CR10",2
"50",2018-12-30,"CR09","CR12",744
"51",2018-12-30,"CR09","CR13",704
"52",2018-12-30,"CR09","CR14",426
"53",2018-12-30,"CR09","CR17",402
"54",2018-12-30,"CR09","CR35",858
"55",2018-12-30,"CR09","CR36",560
"56",2018-12-30,"CR10","CR01",1760
"57",2018-12-30,"CR10","CR04",608
"58",2018-12-30,"CR10","CR05",20
"59",2018-12-30,"CR10","CR06",40
"60",2018-12-30,"CR10","CR07",606
"61",2018-12-30,"CR10","CR08",1204
"62",2018-12-30,"CR10","CR09",1360
"63",2018-12-30,"CR10","CR10",2408
"64",2018-12-30,"CR10","CR11",4
"65",2018-12-30,"CR10","CR12",3388
"66",2018-12-30,"CR10","CR13",2770
"67",2018-12-30,"CR10","CR14",3792
"68",2018-12-30,"CR10","CR17",1633
"69",2018-12-30,"CR10","CR35",4330
"70",2018-12-30,"CR10","CR36",1418
"71",2018-12-30,"CR11","CR06",680
